rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
38834,tree_xs_0p575_xj_0p250_yj_0p525_r_2p00,0.575,0.25,0.525,2.0,64,e963c3d75b050a8397b929522941a8c3885821165c381417b75c0742a4fd5f45,e963c3d75b050a8397b929522941a8c3885821165c381417b75c0742a4fd5f45,0.25,0.18091727636286584,0.17798458076751272,0.23869850998738582,0.23869850998738582,0.19920012237258813,5.71224304958159e-13,0.023214399989228696
38835,tree_xs_0p350_xj_0p700_yj_0p225_r_1p00,0.35,0.7,0.225,1.0,64,5b6d7f56387e77e01c99f836709758681e952a81c1fc04ae265c16789f45793b,5b6d7f56387e77e01c99f836709758681e952a81c1fc04ae265c16789f45793b,0.25,0.19475188455565365,0.23871196322337002,0.21223592206449846,0.23871196322337002,0.2152332566145074,6.741574607454843e-13,0.017173099986393936
38836,tree_xs_0p650_xj_0p300_yj_0p225_r_1p00,0.65,0.3,0.225,1.0,64,f4f885e00a0b2e7a3907721c1de01354abd06e533611aba258693e1b76ed53ce,f4f885e00a0b2e7a3907721c1de01354abd06e533611aba258693e1b76ed53ce,0.25,0.19475188455566017,0.21223592206450564,0.23871196322337987,0.23871196322337987,0.21523325661451523,6.163585818692718e-13,0.024481599990394898
38837,tree_xs_0p375_xj_0p725_yj_0p275_r_1p00,0.375,0.725,0.275,1.0,64,f9ae4ceba4bf7e73b3ea278da398e181b3192f6620f0c75abbd84d98d4317eb5,f9ae4ceba4bf7e73b3ea278da398e181b3192f6620f0c75abbd84d98d4317eb5,0.25,0.19679087345642624,0.2387133624425271,0.2105288802945522,0.2387133624425271,0.21534437206450185,6.927819150465356e-13,0.017712300003040582
38838,tree_xs_0p675_xj_0p300_yj_0p300_r_1p00,0.675,0.3,0.3,1.0,64,d33c7840b1b6a15819c3555cc609e7056fdf260ddc396394275a6af025b3afef,d33c7840b1b6a15819c3555cc609e7056fdf260ddc396394275a6af025b3afef,0.25,0.1976998872760192,0.21199120131695,0.238715755453487,0.238715755453487,0.21613561468215206,6.906328589207854e-13,0.024814899996272288
38839,tree_xs_0p425_xj_0p750_yj_0p475_r_2p00,0.425,0.75,0.475,2.0,64,d3f016a07780ac78c55cb24371c61a67b2ee0c679f27c116694d5004ff799239,d3f016a07780ac78c55cb24371c61a67b2ee0c679f27c116694d5004ff799239,0.25,0.18162085909337722,0.23873632513409684,0.1829911275805263,0.23873632513409684,0.2011161039360001,5.036661118067742e-13,0.01894429999811109
38840,tree_xs_0p375_xj_0p750_yj_0p525_r_0p75,0.375,0.75,0.525,0.75,64,a9e1b725cd7aa0fab807e216cba3eee6b2d14aa5e2fac5868ec023ab58f83f43,a9e1b725cd7aa0fab807e216cba3eee6b2d14aa5e2fac5868ec023ab58f83f43,0.25,0.20236991732445153,0.23874811095779352,0.19995699282280344,0.23874811095779352,0.21369167370168282,8.180818226868988e-13,0.017707100007100962
38841,tree_xs_0p625_xj_0p250_yj_0p525_r_0p75,0.625,0.25,0.525,0.75,64,3a309c5db3d4eb7dac43ff4eee6943de2509ad56ef4568beaa69f79706dd2875,3a309c5db3d4eb7dac43ff4eee6943de2509ad56ef4568beaa69f79706dd2875,0.25,0.2023699173244594,0.19995699282280907,0.2387481109578037,0.2387481109578037,0.21369167370169073,8.024204827760229e-13,0.023238099995069206
38842,tree_xs_0p625_xj_0p275_yj_0p275_r_1p25,0.625,0.275,0.275,1.25,64,02b1b6a7f26296b5a6309380a2806f56f90c7e72e84be795324481e850248234,02b1b6a7f26296b5a6309380a2806f56f90c7e72e84be795324481e850248234,0.25,0.18932429036755116,0.20336236825056406,0.23874955212179833,0.23874955212179833,0.21047873691330454,5.968196128604297e-13,0.02241590000630822
38843,tree_xs_0p425_xj_0p750_yj_0p500_r_2p00,0.425,0.75,0.5,2.0,64,567c2efb316d3cdcaec816a9c191c602320de1759a3a3f4c46df2eb9097ca2ee,567c2efb316d3cdcaec816a9c191c602320de1759a3a3f4c46df2eb9097ca2ee,0.25,0.1821906341314027,0.23876830253556752,0.181510915311331,0.23876830253556752,0.20082328399276708,5.32608380806481e-13,0.020676000000094064
