candidate_id,case_id,grid_ny,grid_nx,design_hash_64,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,scenario_A_residual,scenario_B_residual,scenario_C_residual,worst_peak,k_high,wall_seconds
evenly_dispersed_binary,shift_B_2_left,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5863770569560018,0.5849495361189074,2.1422474857255522e-11,2.18639841973367e-11,2.1756926147835962e-11,0.5863770569560018,20.0,0.6282749999954831
single_A_20260828,shift_B_2_left,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.3297695122197202,0.31459422717943425,5.3303893626756595e-12,4.97865736325292e-12,4.961052445930689e-12,0.3297695122197202,20.0,0.6120372000004863
single_A_20260829,shift_B_2_left,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.32973330073533574,0.31601846114328797,5.358510273179849e-12,4.934077131898856e-12,4.9419909453731396e-12,0.32973330073533574,20.0,0.615069699997548
single_A_20260830,shift_B_2_left,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.3285679528942897,0.3211513095413453,5.3034057022574545e-12,4.893181930098314e-12,4.9654942265296865e-12,0.3285679528942897,20.0,0.6142527999909362
robust_20260828,shift_B_2_left,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.1611364236649549,0.156506824943584,7.457370696019172e-12,7.383641090169275e-12,7.538390297996635e-12,0.1611364236649549,20.0,0.6170315000053961
robust_20260829,shift_B_2_left,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.16074664543509165,0.15562258325449235,7.343194487175408e-12,7.646327413986548e-12,7.309671493784678e-12,0.16074664543509165,20.0,0.6136190999968676
robust_20260830,shift_B_2_left,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.16046937870686223,0.15663546358885735,7.407332109399596e-12,7.381338019065923e-12,7.647565073976365e-12,0.16046937870686223,20.0,0.612915100005921
random_filtered_seed_9101,shift_B_2_right,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5868563394073616,0.48862023716050934,2.2229155391873213e-11,2.0528790073364182e-11,2.2979324754731748e-11,0.5868563394073616,20.0,0.6163598999992246
random_filtered_seed_9102,shift_B_2_right,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.49720226876924367,0.5415047970605279,2.1887773401332406e-11,2.3162538459520455e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6241417000128422
random_filtered_seed_9103,shift_B_2_right,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.5201588596816691,0.5791671539152953,2.3854948175971906e-11,2.4051266117882857e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.615593299997272
straight_path,shift_B_2_right,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.304916701304882,0.31694179815031337,8.060270556133302e-12,7.441165602985585e-12,7.413941205243471e-12,0.31694179815031337,20.0,0.6186211000022013
evenly_dispersed_binary,shift_B_2_right,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5802821726106013,0.5849495361189074,2.1422474857255522e-11,2.1642210229563014e-11,2.1756926147835962e-11,0.5849495361189074,20.0,0.6094341999996686
single_A_20260828,shift_B_2_right,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.30496563404825994,0.31459422717943425,5.3303893626756595e-12,5.1090905902069166e-12,4.961052445930689e-12,0.31459422717943425,20.0,0.614002200003597
single_A_20260829,shift_B_2_right,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.30501237198469117,0.31601846114328797,5.358510273179849e-12,5.097319632525944e-12,4.9419909453731396e-12,0.31601846114328797,20.0,0.6131019000022206
single_A_20260830,shift_B_2_right,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.30394830082755475,0.3211513095413453,5.3034057022574545e-12,4.942401413018524e-12,4.9654942265296865e-12,0.3211513095413453,20.0,0.6137914999999339
robust_20260828,shift_B_2_right,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.15262569828291864,0.156506824943584,7.457370696019172e-12,7.359238087973016e-12,7.538390297996635e-12,0.156506824943584,20.0,0.621365800005151
robust_20260829,shift_B_2_right,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.1548776007513782,0.15562258325449235,7.343194487175408e-12,7.640963449488963e-12,7.309671493784678e-12,0.1574716324313547,20.0,0.6295599000004586
robust_20260830,shift_B_2_right,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.15279065280783044,0.15663546358885735,7.407332109399596e-12,7.407389783205283e-12,7.647565073976365e-12,0.15663546358885735,20.0,0.6228525000042282
random_filtered_seed_9101,shift_B_2_up,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5972579338176605,0.48862023716050934,2.2229155391873213e-11,2.0513602341906518e-11,2.2979324754731748e-11,0.5972579338176605,20.0,0.6158674000034807
random_filtered_seed_9102,shift_B_2_up,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.5035418853368121,0.5415047970605279,2.1887773401332406e-11,2.338755804848979e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6097420000005513
random_filtered_seed_9103,shift_B_2_up,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.524921040079988,0.5791671539152953,2.3854948175971906e-11,2.3851851607558637e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6131325000023935
straight_path,shift_B_2_up,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.31927203731472387,0.31694179815031337,8.060270556133302e-12,7.432231191957479e-12,7.413941205243471e-12,0.31927203731472387,20.0,0.6139983999892138
evenly_dispersed_binary,shift_B_2_up,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5890419424052126,0.5849495361189074,2.1422474857255522e-11,2.155745156885131e-11,2.1756926147835962e-11,0.5890419424052126,20.0,0.6161900000006426
single_A_20260828,shift_B_2_up,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.32382986912750145,0.31459422717943425,5.3303893626756595e-12,4.921043328330826e-12,4.961052445930689e-12,0.32382986912750145,20.0,0.6173343999980716
